customer_id,full_name,city,phone,created_at
1,"Rohan Sharma",Saket,9842868828,2024-04-05
2,"Rohan Saxena",Dwarka,9889254563,2024-07-02
3,"Amit Verma","Lajpat Nagar",9841227216,2024-09-20
4,"Amit Saxena","Lajpat Nagar",9897226012,2024-12-18
5,"Karan Singh","Preet Vihar",9889089901,2024-05-26
6,"Amit Gupta","Karol Bagh",9855667651,2024-05-05
7,"Vikas Bansal",Dwarka,9822448136,2024-07-04
8,"Deepak Bansal",Saket,9815831819,2024-12-15
9,"Arjun Verma","Karol Bagh",9820576383,2024-09-10
10,"Ravi Bansal","Lajpat Nagar",9819335534,2024-01-22
11,"Vikas Yadav",Dwarka,9841244663,2024-02-13
12,"Rahul Kapoor",Janakpuri,9831831063,2024-06-12
13,"Vikas Yadav",Dwarka,9891756179,2024-11-06
14,"Arjun Singh",Pitampura,9872043515,2024-07-09
15,"Arjun Singh",Janakpuri,9817507864,2024-04-27
16,"Amit Bansal","Karol Bagh",9845935572,2024-02-07
17,"Ravi Bansal","Lajpat Nagar",9897971488,2024-08-13
18,"Manish Gupta",Saket,9828740864,2024-04-24
19,"Arjun Saxena",Saket,9888461803,2024-07-19
20,"Karan Bansal","Lajpat Nagar",9828566572,2024-09-16
21,"Rohan Sharma",Dwarka,9830514014,2024-11-06
22,"Karan Jain",Dwarka,9861642594,2024-07-20
23,"Manish Saxena",Saket,9884252722,2024-01-22
24,"Rohan Saxena",Saket,9896028436,2024-06-04
25,"Rahul Mehra",Pitampura,9870897765,2024-01-24
26,"Rahul Saxena",Pitampura,9878139880,2024-02-28
27,"Rahul Saxena","Lajpat Nagar",9830513739,2024-06-25
28,"Sanjay Saxena",Rohini,9890388981,2024-06-16
29,"Amit Verma",Janakpuri,9851273847,2024-04-02
30,"Vikas Jain",Dwarka,9821496211,2024-12-16
31,"Rohan Saxena",Pitampura,9827232410,2024-11-16
32,"Arjun Gupta",Saket,9880823176,2024-10-14
33,"Vikas Saxena","Lajpat Nagar",9851837852,2024-07-22
34,"Deepak Kapoor","Preet Vihar",9826240908,2024-04-08
35,"Rohan Bansal",Rohini,9888961459,2024-09-08
36,"Ravi Singh",Rohini,9819528530,2024-12-21
37,"Amit Singh",Dwarka,9814216175,2024-06-03
38,"Arjun Singh",Saket,9899788677,2024-08-07
39,"Arjun Gupta","Preet Vihar",9842614537,2024-08-26
40,"Karan Singh",Dwarka,9823009833,2024-11-14
41,"Deepak Mehra","Karol Bagh",9872682989,2024-12-02
42,"Rohan Sharma","Karol Bagh",9855540424,2024-02-08
43,"Vikas Singh","Preet Vihar",9828814949,2024-07-06
44,"Rahul Kapoor","Lajpat Nagar",9820117988,2024-08-26
45,"Arjun Verma",Rohini,9897529405,2024-09-27
46,"Amit Verma","Lajpat Nagar",9832321899,2024-07-16
47,"Manish Singh","Karol Bagh",9817869910,2024-03-13
48,"Amit Mehra",Saket,9871070189,2024-05-14
49,"Arjun Kapoor",Pitampura,9835487660,2024-05-07
50,"Amit Jain",Rohini,9852091325,2024-01-02
51,"Ravi Kapoor",Pitampura,9817634247,2024-09-03
52,"Sanjay Verma",Dwarka,9841568532,2024-07-04
53,"Ravi Singh",Rohini,9893131979,2024-02-14
54,"Ravi Jain",Janakpuri,9844999379,2024-04-22
55,"Deepak Singh",Saket,9863121477,2024-03-22
56,"Rahul Kapoor",Janakpuri,9819736572,2024-01-15
57,"Ravi Jain",Dwarka,9819832887,2024-09-07
58,"Arjun Yadav",Pitampura,9856843172,2024-02-08
59,"Deepak Yadav",Pitampura,9868812137,2024-09-23
60,"Rahul Jain",Rohini,9899639081,2024-09-10
61,"Rohan Gupta",Saket,9825492573,2024-02-24
62,"Arjun Gupta",Saket,9847816686,2024-10-07
63,"Deepak Singh",Saket,9877834855,2024-08-09
64,"Amit Verma","Karol Bagh",9847135391,2024-01-01
65,"Deepak Gupta",Saket,9831687165,2024-12-15
66,"Arjun Mehra",Rohini,9825015458,2024-02-23
67,"Sanjay Saxena",Rohini,9859555330,2024-10-18
68,"Sanjay Mehra",Pitampura,9815614174,2024-05-12
69,"Amit Bansal","Lajpat Nagar",9843491314,2024-11-04
70,"Deepak Saxena","Karol Bagh",9893303777,2024-12-05
71,"Vikas Gupta",Pitampura,9865337219,2024-01-06
72,"Deepak Mehra","Lajpat Nagar",9845810056,2024-03-26
73,"Rohan Mehra",Rohini,9873174945,2024-04-07
74,"Manish Bansal",Saket,9840547349,2024-04-01
75,"Vikas Mehra",Janakpuri,9847393469,2024-02-25
76,"Rahul Bansal","Karol Bagh",9881969657,2024-06-01
77,"Rohan Yadav",Pitampura,9887925434,2024-05-02
78,"Rohan Jain","Karol Bagh",9856397338,2024-12-26
79,"Deepak Mehra",Dwarka,9861700055,2024-10-07
